index	*ID	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
Lightsabre	259	100	1		3	1	60	60	7cr	Phase Blade		5	5000	lblu			invcrsu				light		4	4	hit-skill	Chain Lightning	11	25	ignore-ac	1	1	1	abs-ltng%		15	15	swing2		20	20	dmg-mag		100	200	dmg-ltng		1	300	manasteal		5	7	dmg%		200	250	dmg-norm		25	50										0
Doombringer	260	100	1		1	1	65	69	7b7	Champion Sword		5	5000	dred	dred		invbswu				hp%		20	20	dmg%		250	300	att		100	100	dmg-min		25	40	dmg-max		100	150	aura	Might	10	10	lifesteal		5	7																						0
The Grandfather	261	100	1		1	1	80	85	7gd	Colossus Blade		5	5000	lyel	lyel		invgsdu				all-stats		20	20	dmg-min		100	200	dmg/lvl	24			dmg%/lvl	24			att/lvl	48			deadly/lvl	8			hp		80	80	ethereal		1	1	indestruct		1	1														0
Wizardspike	262	100	1		1	1	60	61	7dg	Bone Knife		5	5000	lgry	lgry						mana/lvl	24			regen-mana		50	50	mana%		20	20	res-all		50	50	indestruct		1	1	cast3		50	50	allskills		1	2																						0
Constricting Ring	263	100	1		1	1	80	85	rin	Ring		5	5000	cblu	cblu						res-all		50	50	regen		-50	-50	mag%		100	100	res-all-max		5	5										0																								0
Stormspire	264	100	1		1	1	70	75	7wc	Giant Thresher		5	5000	dblu	dblu						res-ltng		50	50	gethit-skill	Chain Lightning	9	25	dmg%		300	333	str		10	10	gethit-skill	Charged Bolt	8	25	swing2		30	30	indestruct		1	1	dmg-ltng		1	350	aura	Holy Shock	15	15														0
Eaglehorn	265	100	1		1	1	65	71	6l7	Crusader Bow		5	5000	dgld	dgld						ignore-ac		1	1	att/lvl	16			dmg%/lvl	16			dmg%		250	350	ama		1	1	dex		25	25																										0
Windforce	266	100	1		1	1	80	80	6lw	Hydra Bow		5	5000	dyel	dyel						dex		25	25	dmg/lvl	32			hit-skill	Twister	10	30	manasteal		6	8	knock		1	1	dmg%		300	350	swing2		20	20	str		10	10																		0
Rings																																																																						0
Bul Katho's Wedding Band	268	100	1		1	1	55	65	rin	Ring		5	5000	dpur	dpur						hp/lvl	4			allskills		1	1	lifesteal		3	5	stam		50	50	dmg/lvl	2																																0
The Cat's Eye	269	100	1		5	1	50	50	amu	Amulet		5	5000	oran	oran						move2		30	30	swing2		20	20	ac		100	100	ac-miss		100	100	dex		25	25																														0
The Rising Sun	270	100	1		5	1	60	65	amu	Amulet		5	5000	lgld	lgld						abs-fire/lvl	3			light		2	2	gethit-skill	Meteor	10	25	dmg-fire		50	100	fireskill		2	2	pierce-fire		15	15																										0
Crescent Moon	271	100	1		5	1	60	65	amu	Amulet		5	5000	lblu	lblu						abs-cold/lvl	3			light		2	2	gethit-skill	Blizzard	10	25	dmg-cold		50	100	coldskill		2	2	extra-cold		15	15																										0
Mara's Kaleidoscope	272	100	1		5	1	65	67	amu	Amulet		5	5000	oran	oran						allskills		2	2	res-all		20	30	all-stats		10	10																																						0
Atma's Scarab	273	100	1		5	1	60	60	amu	Amulet		5	5000	cgrn	cgrn						dmg-pois	100	300	300	res-pois		75	75	light		1	1	thorns		100	100	hit-skill	Amplify Damage	9	5	att%		50	50																										0
Dwarf Star	274	100	1		5	1	50	50	rin	Ring		5	5000	dgry	dgry						gold%		100	100	fireskill		1	1	extra-fire		5	5	hp		40	40	red-mag		10	10	abs-fire%		10	10																										0
Raven Frost	275	100	1		5	1	43	45	rin	Ring		5	5000	cblu	cblu						nofreeze		1	1	dmg-cold	100	20	50	abs-cold%		10	10	mana		40	40	dex		15	20	att		150	250																										0
Highlord's Wrath	276	100	1		5	1	60	65	amu	Amulet		5	5000	bwht	bwht						res-ltng		50	50	dmg-ltng		1	100	swing2		20	20	allskills		1	1	deadly/lvl	3			light		1	1																										0
Saracen's Chance	277	100	1		5	1	43	47	amu	Amulet		5	5000	dpur	dpur						res-all		15	25	gethit-skill	Lower Resist	10	5	all-stats		10	15																																						0
Class Specific																																																																						0
Arreat's Face	279	100	1		1	1	42	42	baa	Slayer Guard		5	5000								bar		2	2	skilltab	12	2	2	ac%		150	200	balance2		30	30	att%		20	20	str		20	20	dex		20	20	lifesteal		3	6	res-all		30	30														0
Homunculus	280	100	1		1	1	42	42	nea	Hierophant Trophy		5	5000								nec		2	2	skilltab	6	2	2	ac%		150	200	block2		30	30	block		40	40	enr		20	20	regen-mana		33	33	mana-kill		5	5	res-all		40	40														0
Titan's Revenge	281	100	1		1	1	42	42	ama	Ceremonial Javelin		5	5000								ama		2	2	skilltab	2	2	2	dmg%		150	200	move2		30	30	rep-quant	30			str		20	20	dex		20	20	lifesteal		5	9	dmg-norm		25	50	stack		60	60										0
Lycander's Aim	282	100	1		1	1	43	50	am7	Ceremonial Bow		5	5000								ama		2	2	skilltab	0	2	2	dmg%		150	200	swing2		20	20	ac%		20	20	dex		20	20	enr		20	20	manasteal		5	8	dmg-norm		25	50														0
Lycander's Flank	283	100	1		1	1	42	42	am9	Ceremonial Pike		5	5000								ama		2	2	skilltab	2	2	2	dmg%		150	200	swing2		30	30	ac%		20	20	str		20	20	vit		20	20	lifesteal		5	9	dmg-norm		25	50														0
The Oculus	284	100	1		1	1	42	42	oba	Swirling Crystal		5	5000								sor		3	3	gethit-skill	Teleport	25	1	res-all		20	20	cast2		30	30	vit		20	20	enr		20	20	mana-kill		5	5	mag%		100	100																		0
Herald of Zakarum	285	100	1		1	1	43	50	pa9	Gilded Shield		5	5000								pal		2	2	skilltab	9	2	2	ac%		150	200	block2		30	30	block		30	30	str		20	20	vit		20	20	att%		50	50	res-all		50	50														0
Cutthroat1	286	100	1		1	1	42	42	9tw	Greater Talons		5	5000								ass		2	2	skilltab	20	1	1	dmg%		150	200	balance2		30	30	att%		20	20	str		20	20	dex		20	20	lifesteal		5	9	dmg-norm		25	50														0
Jalal's Mane	287	100	1		1	1	42	42	dra	Totemic Mask		5	5000								dru		2	2	skilltab	16	2	2	ac%		150	200	balance2		30	30	att		50	50	str		20	20	enr		20	20	mana-kill		5	5	res-all		30	30														0
The Scalper	288	100	1		1	1	60	60	9ta	Francisca		5	5000								rep-quant	30			dmg%		200	244	att		50	50	swing2		20	20	openwounds		33	33	lifesteal		4	6	mana-kill		4	4																						0
Bloodmoon	289	100	1		1	1	60	65	7sb	elegant blade		5	5000	cred	cred		invsbru				dmg%		250	277	lifesteal		10	15	oskill	BloodGolem	5	5	heal-kill		7	13	openwounds		50	50																														0
Djinnslayer	290	100	1		1	1	65	65	7sm	ataghan		5	5000	dpur	dpur		invscmu				dmg%		211	255	dmg-fire		250	500	dmg-demon		100	150	att-demon		200	300	abs-ltng		3	7	manasteal		3	6	sock		2	2	mag%		50	50																		0
Deathbit	291	100	1		1	1	43	44	9tk	battle dart		5	5000								deadly		40	40	dmg%		150	200	att		200	450	lifesteal		7	9	manasteal		4	6	rep-quant	25																												0
Warshrike	292	100	1		1	1	80	80	7bk	winged knife		5	5000	bwht	bwht		invtk3				dmg%		200	250	pierce		50	50	swing2		30	30	deadly		50	50	rep-quant	30			hit-skill	Nova	10	30																										0
Gutsiphon	293	100	1		1	1	71	71	6rx	demon crossbow		5	5000	lgrn	lgrn		invrxbu				dmg%		250	350	pierce		33	33	lifesteal		12	18	hit-skill	Decrepify	9	5	openwounds		33	33	dmg-max		50	100																										0
Razoredge	294	100	1		1	1	60	70	7ha	tomahawk		5	5000	lblu			invhaxu				dmg%		233	333	swing2		40	40	reduce-ac		33	33	deadly		50	50	openwounds		50	50	dmg-min		20	50	dmg-max		50	80																						0
Gore Ripper	295	100	1		1	1	5	5	ba1	Jawbone Cap		5	5000	dred	dred						dmg%		10	10	swing1		10	10	openwounds		10	10	bloody		1	1	str		10	10																														0
Demonlimb	296	100	1		1	1	70	70	7sp	tyrant club		5	5000	dgrn	dgrn		invspcu				dmg%		260	345	dmg-fire		222	333	lifesteal		7	13	charged	Enchant	10	50	rep-dur	5			dmg-demon		150	200	res-fire		15	20																						0
Steelshade	297	100	1		1	1	70	70	ulm	armet		5	5000	blac	blac		invhlmu				ac%		200	200	abs-fire		5	11	manasteal		4	8	regen		10	18	red-dmg%		15	15	dmg%		50	50																										0
Tomb Reaver	298	100	1		1	1	80	84	7pa	cryptic axe		5	5000	lyel	lyel						swing2		60	60	light		2	2	dmg%		300	380	dmg-undead		200	300	mag%		100	100	res-all		30	50	att-undead		250	350	reanimate	1	10	10	heal-kill		10	14	sock		3	5										0
Deaths's Web	299	100	1		1	1	60	66	7gw	unearthed wand		5	5000	bwht	bwht						allskills		2	2	pierce-pois		40	50	heal-kill		7	12	mana-kill		7	12	skilltab	7	1	2																														0
Nature's Peace	300	100	1		3	1	60	69	rin	ring		5	5000	dgrn	dgrn						openwounds		25	25	rip		1	1	red-dmg		7	11	res-pois		20	30	oskill	Oak Sage	5	5																														0
Azurewrath	301	100	1		1	1	87	85	7cr	phase blade		5	5000	lgry			invcrs				dmg-mag		250	500	dmg%		300	350	aura	Sanctuary	10	13	dmg-cold	100	250	500	swing2		30	30	all-stats		5	10	light		2	2	allskills		2	2																		0
Seraph's Hymn	302	100	1		3	1	60	65	amu	amulet		5	5000	bwht	bwht		invamu2				allskills		2	2	skilltab	11	1	2	dmg-demon		100	100	dmg-undead		100	100	att-demon		150	250	att-undead		150	250	light		1	1																						0
Zakarum's Salvation	303	100	1		1	1	70	70	pad	Kurast Shield		5	5000								res-mag		15	15	res-all		30	50	gethit-skill	Attract	9	10	pal		2	2	red-dmg%		15	15	cast1		15	15																										0
Fleshripper	304	100	1		1	1	65	68	7kr	fanged knife		5	5000	dred	dred		invkrsu				dmg%		250	300	reduce-ac		50	50	noheal		1	1	dmg-norm		30	70	openwounds		50	50	deadly		33	33	slow		10	10																						0
Odium	305	100	1		1	1	70	75	utc	Troll Belt		5	5000	blac							ac%		200	300	dmg%		50	100	hit-skill	Amplify Damage	4	10	openwounds		15	15	res-all		20	20	res-mag		-10	-10																										0
Horizon's Tornado	306	100	1		3	1	64	64	7fl	scourge		5	5000	dpur	dpur						dmg%		230	280	swing2		50	50	slow		10	10	hit-skill	Tornado	20	30	ease		-20	-20																														0
Stone Crusher	307	100	1		4	1	65	70	7wh	legendary mallet		5	5000	whit							dmg%		200	344	str		20	30	deadly		40	40	reduce-ac		25	25	dmg-ac		-100	-100	dmg-norm		50	100																										0
Jadetalon	308	100	1		1	1	65	66	7wb	wrist sword		5	5000	cgrn	cgrn						dmg%		190	240	manasteal		10	15	res-all		40	50	balance2		30	30	skilltab	19	1	2	skilltab	20	1	2																										0
Shadowdancer	309	100	1		1	1	70	71	uhb	myrmidon greaves		5	5000	blac	blac						ac%		150	150	move2		30	30	balance2		30	30	dex		15	25	skilltab	19	1	2	extra_shadow_masters		1	1																										0
Cerebus	310	100	1		1	1	60	63	drb	blood spirit		5	5000	bwht	bwht						ac%		130	140	skilltab	16	2	4	lifesteal		7	10	att		60	120	openwounds		33	33	skill	feral rage	2	3																										0
Tyrael's Might	311	100	1		1	1	85	85	uar	sacred armor		5	5000	dblu	dblu		invaaru				ease		-100	-100	oskill	Teleport	1	1	ac%		200	300	rip		1	1	dmg-demon		200	200	nofreeze		1	1	move2		20	20	res-all		50	50	str		50	50														0
Souldrain	312	100	1		1	1	70	74	umg	vambraces		5	5000	dred	dred						ac%		90	120	manasteal		4	7	lifesteal		4	7	hit-skill	Weaken	8	5	dmg-ac		-50	-50	dmg-norm		25	50																										0
Runemaster	313	100	1		1	1	75	75	72a	ettin axe		5	5000	lblu	lblu						dmg%		400	400	sock		3	5	res-cold-max		5	5	nofreeze		1	1																																		0
Deathcleaver	314	100	1		1	1	75	75	7wa	berserker axe		5	5000	dred							dmg%		300	350	deadly		66	66	reduce-ac		33	33	swing2		40	40	heal-kill		6	9	dmg-max		30	100																										0
Executioner's Justice	315	100	1		1	1	80	80	7gi	glorious axe		5	5000	blac	blac						dmg%		333	366	deadly		50	50	reduce-ac		33	33	kill-skill	Decrepify	25	10	swing2		30	30																														0
Stoneraven	316	100	1		1	1	70	70	amd	matriarchal spear		5	5000	dgry							dmg%		300	355	dmg-mag		101	202	res-all		30	50	ac		400	600	skilltab	2	1	3																														0
Leviathan	317	100	1		1	1	60	65	uld	kraken shell		5	5000	cgrn	cgrn						ac%		250	300	ac		100	150	red-dmg%		15	25	str		40	50	indestruct		1	1	move1		-20	-20																										0
Larzuks Champion	318	100	1		1	1	80	85	uhc	Colossus Girdle		5	5000	lgry		flphmr	invhfh				ac%		200	300	dmg-max		50	100	res-all		-20	-20	swing1		20	20	red-dmg%		20	20																														0
Wisp	319	100	1		1	1	80	80	rin	ring		5	5000	bwht	bwht						abs-ltng%		10	10	hit-skill	Chain Lightning	10	30	mag%		100	100	pierce-ltng		10	10	extra-ltng		10	10	dmg-ltng		1	50																										0
Gargoyle's Bite	320	100	1		1	1	70	70	7ts	winged harpoon		5	5000	cgrn	cgrn						dmg%		200	280	rep-quant	30			dmg-pois	100	500	500	lifesteal		9	15	skill	Plague Javelin	5	5	pierce-pois		15	15																										0
Lacerator	321	100	1		1	1	65	68	7b8	winged axe		5	5000	blac	blac						dmg%		200	300	rep-quant	25			swing2		30	30	noheal		1	1	openwounds		33	33	dmg-min		50	50	hit-skill	Amplify Damage	20	5																						0
Mang Song's Lesson	322	100	1		1	1	80	85	6ws	archon staff		5	5000	dgld	dgld		inv8wsu				allskills		5	5	pierce-fire		15	25	pierce-ltng		15	25	extra-cold		15	25	regen-mana		30	30	cast2		50	50																										0
Viperfork	323	100	1		1	1	75	75	7br	Mancatcher		5	5000	dgrn	dgrn						dmg%		220	280	dmg-pois	100	600	600	swing2		50	50	att		200	250	hit-skill	Poison Nova	10	20	res-pois		30	50	hit-skill	Lower Resist	10	5																						0
Ethereal Edge	324	100	1		1	1	70	77	7ba	silver-edged axe		5	5000	whit	whit						dmg%		300	333	swing2		25	25	abs-fire		10	10	dmg-demon		150	200	demon-heal		5	10	att		270	350	ethereal		1	1	indestruct		1	1																		0
Demonhorn's Edge	325	100	1		1	1	61	61	bad	destroyer helm		5	5000	dgry	dgry						ac%		120	160	swing2		10	10	lifesteal		3	6	aura	Thorns	10	10	skilltab	12	1	3	skilltab	13	1	3	skilltab	14	1	3																						0
The Reaper's Toll	326	100	1		1	1	80	80	7s8	thresher		5	5000				invscy				dmg%		300	350	hit-skill	Decrepify	15	5	ignore-ac		1	1	lifesteal		11	15	ease		-25	-25	deadly		50	50	dmg-min		50	100	dmg-max		50	100																		0
Spiritkeeper	327	100	1		1	1	65	67	drd	earth spirit		5	5000								ac%		170	190	balance2		20	20	abs-ltng		9	14	res-fire		30	40	abs-cold%		15	25	res-pois-max		10	10	dru		1	2	skilltab	15	2	2																		0
Hellrack	328	100	1		1	1	80	80	6hx	colossus crossbow		5	5000	cred			invhxbu				dmg%		300	350	dmg-elem	33	63	324	swing2		20	20	att		200	200	sock		3	6	oskill	Immolation Arrow	3	3	pierce-fire		25	25																						0
Alma Negra	329	100	1		1	1	70	77	pac	sacred rondache		5	5000	blac	blac						ac%		180	210	block2		30	30	pal		1	2	block		20	20	red-mag		5	9	att		100	100	dmg%		100	100																						0
Darkforge Spawn	330	100	1		1	1	70	70	nef	bloodlord skull		5	5000	cred	cred						ac%		140	180	cast2		30	30	mana%		10	10	skilltab	6	1	3	skilltab	7	1	3	skilltab	8	1	3																										0
Widowmaker	331	100	1		1	1	65	65	6sw	ward bow		5	5000	dred	dred		invswbu				dmg%		250	300	deadly		33	33	ignore-ac		1	1	oskill	Magic Arrow	3	11	oskill	Guided Arrow	3	3	dmg-mag		50	150																										0
Bloodraven's Charge	332	100	1		1	1	70	75	amb	matriarchal bow		5	5000	dgld	dgld		invswbu				dmg%		270	344	att		200	300	extra-fire		15	15	skilltab	0	2	4	oskill	Revive	5	5																														0
Ghostflame	333	100	1		1	1	62	62	7bl	legend spike		5	5000	cblu	cblu						dmg%		240	280	ignore-ac		1	1	dmg-mag		108	108	manasteal		10	15	ethereal		1	1	indestruct		1	1	light		2	2	aura	Holy Fire	10	10																		0
Shadowkiller	334	100	1		1	1	80	85	7cs	battle cestus		5	5000				invaxfu				dmg%		300	350	reduce-ac		25	25	freeze		2	2	mana-kill		10	15	hit-skill	Frost Nova	10	30	ethereal		1	1	indestruct		1	1	extra_shadow_masters		1	1																		0
Gimmershred	335	100	1		1	1	70	70	7ta	flying axe		5	5000	lgrn							dmg%		200	300	dmg-fire		218	483	dmg-cold	100	176	397	dmg-ltng		29	501	stack		60	60	swing2		30	30	pierce		25	25																						0
Griffon's Eye	336	100	1		1	1	80	80	ci3	diadem		5	5000								ac		100	200	cast2		25	25	allskills		1	2	extra-ltng		10	15	pierce-ltng		15	20																														0
Windhammer	337	100	1		1	1	75	75	7m7	ogre maul		5	5000	cblu	cblu		invmau				dmg%		300	350	deadly		50	50	swing2		60	60	hit-skill	Twister	15	30	hit-skill	Tornado	15	30																														0
Thunderstroke	338	100	1		1	1	75	75	amf	matriarchal javelin		5	5000	dblu	dblu						dmg%		250	300	dmg-ltng		1	511	hit-skill	Chain Lightning	10	30	swing2		15	15	pierce-ltng		15	25	extra-ltng		15	25	skilltab	2	2	4																						0
Giantmaimer	339	100			1							5	5000	cred	cred																																																							0
Demon's Arch	340	100	1		1	1	68	68	7s7	balrog spear		5	5000	cred	cred						dmg%		200	300	dmg-fire		232	323	lifesteal		6	12	rep-quant	30			swing2		30	30	dmg-ltng		23	333	pierce		25	25																						0
Boneflame	341	100	1		1	1	70	72	nee	Succubus Skull		3	5000	dred	dred						ac%		120	150	move2		20	20	extra_skele_mages		3	3	nec		2	3	res-all		20	30	extra_fire_golems		2	2																										0
Steelpillar	342	100	1		1	1	70	75	7p7	war pike		3	5000								dmg%		300	350	swing2		25	25	reduce-ac		20	20	red-dmg%		20	20	indestruct		1	1	deadly		25	25	hit-skill	Amplify Damage	5	10																						0
Nightwing's Veil	343	100	1		1	1	75	75	uhm	spired helm		3	5000	cblu	cblu						ac%		150	200	coldskill		2	2	dex		10	20	abs-cold		10	10	nofreeze		1	1	extra-cold		10	20	cast1		15	15																						0
Crown of Ages	344	100	1		1	1	80	82	urn	corona		3	5000	dgld	dgld						balance2		30	30	res-all		30	30	allskills		2	2	ac		100	150	indestruct		1	1	red-dmg%		15	20	ac%		100	150	sock		2	4																		0
Andariel's Visage	345	100	1		1	1	80	83	usk	demonhead		3	5000	dred	dred						ac%		100	150	res-pois		70	70	allskills		2	2	res-pois-max		10	10	swing2		20	20	str		25	30	gethit-skill	Poison Nova	10	50	oskill	Venom	3	3	lifesteal		8	10	res-fire		-30	-30										0
Darkfear	346	100	1		1	1	10	10	ba2	Fanged Helm		5	5000	blac			invhlmu				hit-skill	Dim Vision	5	5	gethit-skill	Dim Vision	9	5	light		-2	-2	move1		25	25	dmg%		10	10																														0
Dragonscale	347	100	1		1	1	80	85	pae	zakarum shield		3	5000	dgrn	dgrn						ac%		200	300	abs-fire%		10	10	res-fire-max		5	5	str		15	25	dmg-fire		211	371	aura	Holy Fire	10	15	extra-fire		15	15																						0
Steel Carapice	348	100	1		1	1	70	77	uul	shadow plate		3	5000	dgry	dgry						ac%		200	300	balance2		50	50	red-dmg		10	15	thorns		500	1000	gethit-skill	Inner Sight	10	5	red-dmg%		10	15																										0
Medusa's Gaze	349	100	1		1	1	70	76	uow	aegis		3	5000	lred	lred		invtowu				ac%		150	180	hit-skill	Decrepify	5	5	gethit-skill	Decrepify	10	5	lifesteal		5	5	dmg-mag		50	100	res-cold		50	100																										0
Ravenlore	350	100	1		1	1	80	80	dre	sky spirit		3	5000	dgld	dgld						ac%		120	150	res-all		15	25	extra_ravens		5	5	enr		20	30	skill	Raven	5	7	red-dmg%		10	10																										0
Boneshade	351	100	1		1	1	80	85	7bw	lich wand		3	5000	dgry	dgry		invbwnu				nec		2	2	cast2		25	25	skill	Teeth	3	5	skill	Bone Armor	3	5	skill	Bone Spear	3	5	skill	Bone Spirit	3	5	extra_bonespears		2	2																						0
Nethercrow	352	100	1		1	1	10	10	dr2	Hawk Helm		3	5000	cblu	cblu						extra_ravens		1	2	cast1		10	10	move1		10	10	skill	Raven	1	2	enr		10	10																														0
Flamebellow	353	100	1		1	1	80	85	7gs	balrog blade		3	5000	cred	cred		invgisu				dmg%		300	377	dmg-fire		233	482	fireskill		3	3	abs-fire%		15	15	hit-skill	Enchant	10	50	str		25	25	vit		25	25	hit-skill	Enchant	10	50	aura	Holy Fire	20	20														0
Fathom	354	100	1		1	1	70	73	obf	dimensional shard		3	5000	lblu							sor		3	3	extra-cold		20	30	cast2		25	25	res-cold		50	50	oskill	Summon Spirit Wolf	5	5																														0
Wolfhowl	355	100	1		1	1	79	79	bac	fury visor		3	5000	cred	cred						ac%		120	150	skilltab	14	2	3	str		8	15	dex		8	15	vit		8	15	oskill	Wearwolf	3	6	oskill	Shape Shifting	3	6	oskill	Fury	3	6																		0
Spirit Ward	356	100	1		1	1	65	70	uts	ward		3	5000	dblu	dblu		invgtsu				ac%		130	180	cast1		25	40	res-all		30	40	block		20	30	block2		25	25	randclassskill	3	0	6																										0
Kira's Guardian	357	100	1		1	1	75	77	ci2	tiara		3	5000	blac	blac						ac		50	120	res-all		50	70	nofreeze		1	1	balance2		20	20	allskills		1	1	oskill	Valkyrie	5	5																										0
Ormus' Robes	358	100	1		1	1	80	85	uui	dusk shroud		3	5000	blac	blac						ac		100	200	cast2		30	50	pierce-fire		15	25	extra-cold		15	25	pierce-ltng		15	25	regen-mana		30	50	skill-rand	3	36	65																						0
Gheed's Fortune	359	100	1		1	1	60	65	cm3	charm	1	3	5000	lgld							mag%		50	100	gold%		100	200	cheap		10	20	light		1	1																																		0
Stormlash	360	100	1		1	1	80	85	7fl	scourge		3	5000	dgry	dgry						dmg%		300	377	swing2		30	30	hit-skill	Static Field	15	10	hit-skill	Chain Lightning	12	35	dmg-ltng		1	473	aura	Holy Shock	10	15	deadly		33	33	extra-ltng		10	15																		0
Halaberd's Reign	361	100	1		1	1	80	80	bae	conqueror crown		3	5000								ac%		140	170	skilltab	13	3	3	bar		2	2	balance2		20	20	dmg%		100	100	skill	Battle Orders	3	3	skill	Battle Command	3	3																						0
Warriv's Warder	362	100	1		1	1	60	60	urg	Hyperion		3	5000								allskills		3	3	block1		50	50	ac%		200	200	block		15	15	swing1		15	15	cast1		15	15																										0
Spike Thorn	363	100	1		1	1	70	70	upk	blade barrier		5	5000	dyel	dyel		invspku				ac%		120	150	oskill	Thorns	15	15	dur		250	250	balance2		50	50	red-dmg%		15	20	thorns		500	500																										0
Dracul's Grasp	364	100	1		1	1	80	80	uvg	vampirebone gloves		5	5000	dred	dred						ac%		90	120	lifesteal		7	10	openwounds		25	25	hit-skill	Life Tap	5	10	heal-kill		5	10	str		10	15																										0
Frostwind	365	100	1		1	1	75	80	7ls	cryptic sword		5	5000	cblu	cblu		invlsdu				dmg%		330	360	freeze		4	4	nofreeze		1	1	dmg-cold	100	237	486	swing2		25	25	hit-skill	Twister	10	30	extra-cold		15	25																						0
Templar's Might	366	100	1		5	1	82	74	uar	sacred armor		5	5000	cgrn	cgrn		invaaru				ac%		250	300	balance2		30	30	ac-miss		250	300	str		30	50	aura	Might	10	15																														0
Eschuta's temper	367	100	1		1	1	80	80	obc	eldritch orb		5	5000	cred							sor		2	4	cast2		40	40	pierce-fire		15	25	pierce-ltng		15	25	enr		20	30	extra-cold		15	25																										0
Firelizard's Talons	368	100	1		1	1	75	75	7lw	feral claws		5	5000								dmg%		300	321	swing2		25	25	skilltab	20	1	3	dmg-fire		236	480	pierce-fire		15	15	skill	Fists of Fire	2	3	skill	Dragon Tail	2	3																						0
Sandstorm Trek	369	100	1		1	1	60	64	uvb	scarabshell boots		5	5000								ac%		140	170	move2		35	35	balance2		20	20	stam/lvl	8			stamdrain		50	50	res-pois		40	70	str		10	15	vit		10	15																		0
Marrowwalk	370	100	1		1	1	70	75	umb	boneweave boots		5	5000	dgry							ac%		170	200	move2		20	20	regen-mana		10	10	half-freeze		1	1	str		10	20	dex		17	17	skill	Skeleton Mastery	1	3	extra_skele_warriors		1	2	extra_skele_mages		1	2														0
Heaven's Light	371	100	1		1	1	69	61	7sc	mighty scepter		5	5000	cblu	cblu						dmg%		300	350	swing2		20	20	dmg-norm		50	100	light		2	2	demon-heal		15	20	pal		2	3	kill-skill	Fist of the Heavens	10	30																						0
Merman's Speed	372	100	1		1	1	50	50	ulb	Wyrmhide Boots		5	5000	cblu	cblu						move1		40	40	res-cold		40	40	res-fire		40	40	res-cold		-40	-40																																		0
Arachnid Mesh	373	100	1		1	1	80	80	ulc	spiderweb sash		5	5000	blac	blac						ac%		90	120	cast2		20	20	charged	Venom	10	20	allskills		1	2	slow		10	10	mana%		15	20																										0
Nosferatu's Coil	374	100	1		1	1	50	57	uvc	vampirefang belt		5	5000								str		15	15	mana-kill		2	2	hit-skill	Life Tap	5	10	lifesteal		5	7	swing2		15	15	light		-2	-2	dmg-norm		10	15																						0
Metalgrid	375	100	1		2	1	70	79	amu	amulet		5	5000								dmg-norm		25	50	res-all		25	35	att		400	450	oskill	IronGolem	5	5	thorns		500	500																														0
Verdugo's Hearty Cord	376	100	1		1	1	60	67	umc	mithril coil		5	5000	blac	blac						ac%		90	140	vit		30	40	hp%		10	15	balance2		25	25	red-dmg%		10	15	regen		25	30																										0
Sigurd's Staunch	377	100	1		1	1	70	70	utb	Mirrored Boots		5	5000								ac%		100	150	dmg%		50	50	move1		25	25	balance1		25	25	openwounds		25	25																														0
Carrion Wind	378	100	1		3	1	60	60	rin	ring		3	5000								ac-miss		100	160	lifesteal		6	9	res-pois		55	55	gethit-skill	Poison Nova	10	25	oskill	Plague Poppy	15	15	extra-pois		10	10																										0
Giantskull	379	100	1		1	1	80	85	uh9	bone visage		3	5000	lgry	lgry		invbhm				ac		250	320	str		50	50	ease		100	100	move1		-20	-20	dmg-min		25	50	dmg-max		50	100																										0
Ironward	380	100	1		1	1	60	60	7ws	caduceus		3	5000	blac	blac						dmg%		250	311	slow		10	10	att%		150	200	swing2		15	15	dmg-mag		80	240	red-dmg		4	7	dmg-norm		50	120	skilltab	9	2	4	deadly		33	33														0
Annihilus	381	100	1		1	1	110	70	cm1	charm	1	3	5000			flpmss	invmss	item_gem	12	item_gem	allskills		1	1	all-stats		10	20	res-all		10	20	addxp		5	10																																		0
Arioc's Needle	382	100	1		1	1	80	81	7sr	hyperion spear		3	5000								dmg%		300	381	dmg-pois	100	800	800	deadly		50	50	ignore-ac		1	1	allskills		2	4	swing2		30	30	hit-skill	Poison Nova	10	30																						0
Cranebeak	383	100	1		1	1	60	63	7mp	war spike		3	5000	dgry			invmpiu				dmg%		277	340	dmg-ltng		1	305	swing2		40	40	reduce-ac		25	25	mag%		50	50	hit-skill	Raven	15	25	extra_ravens		3	5																						0
Nord's Tenderizer	384	100	1		1	1	65	68	7cl	truncheon		3	5000				invclbu				dmg%		270	330	freeze		2	4	swing2		25	25	res-cold		30	30	att		150	180	abs-cold%		10	10	dmg-cold	100	205	455																						0
Earthshifter	385	100	1		1	1	77	77	7gm	thunder maul		3	5000								dmg%		300	350	hit-skill	Eruption	8	30	kill-skill	Eruption	11	30	deadly		25	25	swing2		30	30	skilltab	17	5	5	cast2		30	30																						0
